"model","fixed.int","fixed.slope","var.rndm.int","var.rndm.slope","covar.rndm","var.res"
"CAP",15.7265209250094,-0.331990690956703,3.2302725279726,0.173958425797416,0.422236397050298,0.57023826233601
"PIN",15.340427866312,-0.306433219473423,2.50205050948144,0.201229462448431,0.343580925746446,0.589112634471032
"Unenriched",16.3928824951645,-0.158790272804918,3.12322297455709,0.149389698005199,0.366581103760719,0.526951162824708
